miner_id,job_id,model_id,topic,if_contains_topic_in_s3_result,s3_url
0xdcddfdb72af4be4b2270ed29c855f7cf9691d970,heurist-llm-576362771024,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xdcddfdb72af4be4b2270ed29c855f7cf9691d970/openhermes-mixtral-8x7b-gptq/heurist-llm-576362771024-2024-05-13T00:55:18.998Z.json
0xc86a1d239ef35300af3a21f70a460c549778a50d,heurist-llm-254804667069,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xc86a1d239ef35300af3a21f70a460c549778a50d/openhermes-mixtral-8x7b-gptq/heurist-llm-254804667069-2024-05-13T00:57:19.873Z.json
0x4b674da5e20067b8213263720d958b5e7abd7d8c,heurist-llm-825749580867,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x4b674da5e20067b8213263720d958b5e7abd7d8c/openhermes-mixtral-8x7b-gptq/heurist-llm-825749580867-2024-05-13T00:58:14.646Z.json
0x3740e9c0c652cc14fc5110a649b3d1c5bf21a42f,heurist-llm-725765776876,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x3740e9c0c652cc14fc5110a649b3d1c5bf21a42f/openhermes-mixtral-8x7b-gptq/heurist-llm-725765776876-2024-05-13T00:59:45.273Z.json
0x6de5c4c166f54fd6fb652bdedbc040577f351b1f,heurist-llm-154777842178,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x6de5c4c166f54fd6fb652bdedbc040577f351b1f/openhermes-mixtral-8x7b-gptq/heurist-llm-154777842178-2024-05-13T01:05:03.056Z.json
0x7f73f838c4f29385c6a56749c61e1b3364f1c1c1,heurist-llm-556714217204,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x7f73f838c4f29385c6a56749c61e1b3364f1c1c1/openhermes-mixtral-8x7b-gptq/heurist-llm-556714217204-2024-05-13T01:02:21.829Z.json
0x9dc6ab68edea83c18cfe8c6038aa41c02488e9e6,heurist-llm-569522276031,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x9dc6ab68edea83c18cfe8c6038aa41c02488e9e6/openhermes-mixtral-8x7b-gptq/heurist-llm-569522276031-2024-05-13T01:05:45.116Z.json
0x1ad4d8f58ff27541d01628487542dc7d666e83dc,heurist-llm-576342471573,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x1ad4d8f58ff27541d01628487542dc7d666e83dc/openhermes-mixtral-8x7b-gptq/heurist-llm-576342471573-2024-05-13T01:08:23.098Z.json
0xac66de582ea726b3efe193629d756c8b7d403ea3,heurist-llm-209788006576,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xac66de582ea726b3efe193629d756c8b7d403ea3/openhermes-mixtral-8x7b-gptq/heurist-llm-209788006576-2024-05-13T01:10:22.713Z.json
0x45553f220ba43a298ef4a2c0126a31310ad25b84,heurist-llm-263957146588,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x45553f220ba43a298ef4a2c0126a31310ad25b84/openhermes-mixtral-8x7b-gptq/heurist-llm-263957146588-2024-05-13T01:09:57.608Z.json
0x617a31cb167fd92669f256948eb8de71ed4098f0,heurist-llm-870964369411,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x617a31cb167fd92669f256948eb8de71ed4098f0/openhermes-mixtral-8x7b-gptq/heurist-llm-870964369411-2024-05-13T01:22:40.326Z.json
0xb9c88ee2cd6e00e05ad1ea6f99a3514babb84300,heurist-llm-925404721084,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xb9c88ee2cd6e00e05ad1ea6f99a3514babb84300/openhermes-mixtral-8x7b-gptq/heurist-llm-925404721084-2024-05-13T01:14:11.160Z.json
0xaafabcd97758a8e9a257f807bebdf4dbf6dde699,heurist-llm-965908530204,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xaafabcd97758a8e9a257f807bebdf4dbf6dde699/openhermes-mixtral-8x7b-gptq/heurist-llm-965908530204-2024-05-13T01:15:34.465Z.json
0xa8e99dfecb0b837d917445c87d8663a2e12efd17,heurist-llm-500709365206,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xa8e99dfecb0b837d917445c87d8663a2e12efd17/openhermes-mixtral-8x7b-gptq/heurist-llm-500709365206-2024-05-13T01:16:57.396Z.json
0x2d2cb8e680feb14467020086666b43cffbdd3cb3,heurist-llm-962937935229,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x2d2cb8e680feb14467020086666b43cffbdd3cb3/openhermes-mixtral-8x7b-gptq/heurist-llm-962937935229-2024-05-13T01:20:09.690Z.json
0x2b43de1407e57596163428d14fe0ffbd2c9ec21c,heurist-llm-888149392750,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x2b43de1407e57596163428d14fe0ffbd2c9ec21c/openhermes-mixtral-8x7b-gptq/heurist-llm-888149392750-2024-05-13T01:22:28.748Z.json
