miner_id,prob_job_1,prob_job_2
0xcd86db0782c8dc3c9eee16fd454b129144369988,s3://validator-history/0xcd86db0782c8dc3c9eee16fd454b129144369988/openhermes-mixtral-8x7b-gptq/heurist-llm-177305910503-2024-05-13T00:51:07.726Z.json,s3://validator-history/0xcd86db0782c8dc3c9eee16fd454b129144369988/openhermes-mixtral-8x7b-gptq/heurist-llm-920378672794-2024-05-23T09:52:35.266Z.json
0x85aee4bba7474d46f3410310a08ce18dc2d8345a,s3://validator-history/0x85aee4bba7474d46f3410310a08ce18dc2d8345a/openhermes-mixtral-8x7b-gptq/heurist-llm-541911328565-2024-05-13T00:52:43.754Z.json,s3://validator-history/0x85aee4bba7474d46f3410310a08ce18dc2d8345a/openhermes-mixtral-8x7b-gptq/heurist-llm-939045740135-2024-05-23T18:38:07.109Z.json
0x0eee8cd17231d0454a70935dc534aeb0ca942dde,s3://validator-history/0x0eee8cd17231d0454a70935dc534aeb0ca942dde/openhermes-mixtral-8x7b-gptq/heurist-llm-275869091941-2024-05-13T00:54:38.703Z.json,s3://validator-history/0x0eee8cd17231d0454a70935dc534aeb0ca942dde/openhermes-mixtral-8x7b-gptq/heurist-llm-199005810995-2024-05-23T10:12:45.187Z.json
0xdcddfdb72af4be4b2270ed29c855f7cf9691d970,s3://validator-history/0xdcddfdb72af4be4b2270ed29c855f7cf9691d970/openhermes-mixtral-8x7b-gptq/heurist-llm-576362771024-2024-05-13T00:55:18.998Z.json,s3://validator-history/0xdcddfdb72af4be4b2270ed29c855f7cf9691d970/openhermes-mixtral-8x7b-gptq/heurist-llm-384772628592-2024-05-23T08:38:47.091Z.json
0xc86a1d239ef35300af3a21f70a460c549778a50d,s3://validator-history/0xc86a1d239ef35300af3a21f70a460c549778a50d/openhermes-mixtral-8x7b-gptq/heurist-llm-254804667069-2024-05-13T00:57:19.873Z.json,
0x4b674da5e20067b8213263720d958b5e7abd7d8c,s3://validator-history/0x4b674da5e20067b8213263720d958b5e7abd7d8c/openhermes-mixtral-8x7b-gptq/heurist-llm-825749580867-2024-05-13T00:58:14.646Z.json,s3://validator-history/0x4b674da5e20067b8213263720d958b5e7abd7d8c/openhermes-mixtral-8x7b-gptq/heurist-llm-714269314338-2024-05-23T08:37:21.023Z.json
0x3740e9c0c652cc14fc5110a649b3d1c5bf21a42f,s3://validator-history/0x3740e9c0c652cc14fc5110a649b3d1c5bf21a42f/openhermes-mixtral-8x7b-gptq/heurist-llm-725765776876-2024-05-13T00:59:45.273Z.json,s3://validator-history/0x3740e9c0c652cc14fc5110a649b3d1c5bf21a42f/openhermes-mixtral-8x7b-gptq/heurist-llm-360546863279-2024-05-23T12:21:32.345Z.json
0x6de5c4c166f54fd6fb652bdedbc040577f351b1f,s3://validator-history/0x6de5c4c166f54fd6fb652bdedbc040577f351b1f/openhermes-mixtral-8x7b-gptq/heurist-llm-154777842178-2024-05-13T01:05:03.056Z.json,s3://validator-history/0x6de5c4c166f54fd6fb652bdedbc040577f351b1f/openhermes-mixtral-8x7b-gptq/heurist-llm-505521306470-2024-05-23T17:13:48.162Z.json
0x7f73f838c4f29385c6a56749c61e1b3364f1c1c1,s3://validator-history/0x7f73f838c4f29385c6a56749c61e1b3364f1c1c1/openhermes-mixtral-8x7b-gptq/heurist-llm-556714217204-2024-05-13T01:02:21.829Z.json,
0x9dc6ab68edea83c18cfe8c6038aa41c02488e9e6,s3://validator-history/0x9dc6ab68edea83c18cfe8c6038aa41c02488e9e6/openhermes-mixtral-8x7b-gptq/heurist-llm-569522276031-2024-05-13T01:05:45.116Z.json,s3://validator-history/0x9dc6ab68edea83c18cfe8c6038aa41c02488e9e6/openhermes-mixtral-8x7b-gptq/heurist-llm-215022779308-2024-05-23T15:25:28.388Z.json
0x1ad4d8f58ff27541d01628487542dc7d666e83dc,s3://validator-history/0x1ad4d8f58ff27541d01628487542dc7d666e83dc/openhermes-mixtral-8x7b-gptq/heurist-llm-576342471573-2024-05-13T01:08:23.098Z.json,s3://validator-history/0x1ad4d8f58ff27541d01628487542dc7d666e83dc/openhermes-mixtral-8x7b-gptq/heurist-llm-765281163920-2024-05-23T17:09:32.619Z.json
0xac66de582ea726b3efe193629d756c8b7d403ea3,s3://validator-history/0xac66de582ea726b3efe193629d756c8b7d403ea3/openhermes-mixtral-8x7b-gptq/heurist-llm-209788006576-2024-05-13T01:10:22.713Z.json,s3://validator-history/0xac66de582ea726b3efe193629d756c8b7d403ea3/openhermes-mixtral-8x7b-gptq/heurist-llm-963207639647-2024-05-23T10:36:47.919Z.json
0x45553f220ba43a298ef4a2c0126a31310ad25b84,s3://validator-history/0x45553f220ba43a298ef4a2c0126a31310ad25b84/openhermes-mixtral-8x7b-gptq/heurist-llm-263957146588-2024-05-13T01:09:57.608Z.json,s3://validator-history/0x45553f220ba43a298ef4a2c0126a31310ad25b84/openhermes-mixtral-8x7b-gptq/heurist-llm-727004402389-2024-05-23T13:07:51.483Z.json
0x617a31cb167fd92669f256948eb8de71ed4098f0,s3://validator-history/0x617a31cb167fd92669f256948eb8de71ed4098f0/openhermes-mixtral-8x7b-gptq/heurist-llm-870964369411-2024-05-13T01:22:40.326Z.json,s3://validator-history/0x617a31cb167fd92669f256948eb8de71ed4098f0/openhermes-mixtral-8x7b-gptq/heurist-llm-404597002583-2024-05-23T15:49:50.225Z.json
