miner_id,job_id,model_id,topic,if_contains_topic_in_s3_result,s3_url
0xcc116cb9fc3afe9f3a3704eeca4233a31a978e30,heurist-llm-315653616193,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0xcc116cb9fc3afe9f3a3704eeca4233a31a978e30/openhermes-mixtral-8x7b-gptq/heurist-llm-315653616193-2024-05-23T08:03:38.986Z.json
0xec92b9871165d586dd46d561da69611e9dd8f513,heurist-llm-882495433354,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0xec92b9871165d586dd46d561da69611e9dd8f513/openhermes-mixtral-8x7b-gptq/heurist-llm-882495433354-2024-05-23T08:05:00.897Z.json
0x4aa20d99c4b780b3343078fc7d7320eb52ebdb5a,heurist-llm-987206391186,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0x4aa20d99c4b780b3343078fc7d7320eb52ebdb5a/openhermes-mixtral-8x7b-gptq/heurist-llm-987206391186-2024-05-23T08:13:14.566Z.json
0x02a150b41ca94c6b601aa1f759a41422cd949696,heurist-llm-988951914175,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0x02a150b41ca94c6b601aa1f759a41422cd949696/openhermes-mixtral-8x7b-gptq/heurist-llm-988951914175-2024-05-23T08:13:52.647Z.json
0xbdd1f984d1941b1f3f3fdac4fe684fd4def08e47,heurist-llm-621218704468,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0xbdd1f984d1941b1f3f3fdac4fe684fd4def08e47/openhermes-mixtral-8x7b-gptq/heurist-llm-621218704468-2024-05-23T08:12:51.442Z.json
0x14fb93723f432ffdd5c847bd4d7dbd0638a54288,heurist-llm-743427911570,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0x14fb93723f432ffdd5c847bd4d7dbd0638a54288/openhermes-mixtral-8x7b-gptq/heurist-llm-743427911570-2024-05-23T08:16:34.701Z.json
0x7e10e2737e5961cee13bf119a5291153d671f100,heurist-llm-766152097909,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0x7e10e2737e5961cee13bf119a5291153d671f100/openhermes-mixtral-8x7b-gptq/heurist-llm-766152097909-2024-05-23T08:15:46.483Z.json
0x7ac4bdd5686721bbbbd0d450c978818a9376869a,heurist-llm-530291748258,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0x7ac4bdd5686721bbbbd0d450c978818a9376869a/openhermes-mixtral-8x7b-gptq/heurist-llm-530291748258-2024-05-23T08:19:01.313Z.json
0x6f4bb4294ffa6d4f08d8b10318b3e913d4fdce51,heurist-llm-424639867713,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0x6f4bb4294ffa6d4f08d8b10318b3e913d4fdce51/openhermes-mixtral-8x7b-gptq/heurist-llm-424639867713-2024-05-23T08:21:55.521Z.json
0xffa949caa41a1daeef50a61f67fc556fbac377c7,heurist-llm-478428154729,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0xffa949caa41a1daeef50a61f67fc556fbac377c7/openhermes-mixtral-8x7b-gptq/heurist-llm-478428154729-2024-05-23T08:23:27.402Z.json
0x10a679c284c5f74c717a26e6a3fc0b2944d48f83,heurist-llm-613548677764,openhermes-mixtral-8x7b-gptq,Eminem,False,s3://validator-history/0x10a679c284c5f74c717a26e6a3fc0b2944d48f83/openhermes-mixtral-8x7b-gptq/heurist-llm-613548677764-2024-05-23T08:27:16.757Z.json
